frame.time_epoch,ip.src,ip.dst,frame.len,tcp.srcport,tcp.dstport
1751013977.545556000,,,784,,
1751013977.545558000,,,1288,,
1751013977.545561000,,,1292,,
1751013977.545563000,,,806,,
1751013977.545566000,,,147,,
1751013977.545567000,,,1287,,
1751013977.545570000,,,535,,
1751013977.545573000,,,87,,
1751013977.545574000,,,119,,
1751013977.545773000,,,93,,
1751013977.545793000,,,93,,
1751013977.545795000,,,93,,
1751013977.545822000,,,93,,
1751013977.545828000,,,93,,
1751013977.545852000,,,93,,
1751013977.545858000,,,93,,
1751013977.545917000,,,97,,
1751013977.545922000,,,93,,
1751013977.545946000,,,93,,
1751013977.545951000,,,93,,
1751013977.557099000,,,1285,,
1751013977.558516000,,,1292,,
1751013977.558519000,,,1292,,
1751013977.558522000,,,1292,,
1751013977.558524000,,,1292,,
1751013977.558526000,,,1292,,
1751013977.558528000,,,1292,,
1751013977.558529000,,,1292,,
1751013977.558531000,,,1292,,
1751013977.558533000,,,1292,,
1751013977.558535000,,,1292,,
1751013977.558538000,,,1292,,
1751013977.558539000,,,1292,,
1751013977.558541000,,,810,,
1751013977.558712000,,,93,,
1751013977.558732000,,,93,,
1751013977.558733000,,,93,,
1751013977.558757000,,,93,,
1751013977.558763000,,,93,,
1751013977.558787000,,,93,,
1751013977.558793000,,,93,,
1751013977.561804000,,,1285,,
1751013977.561806000,,,1292,,
1751013977.561812000,,,349,,
1751013977.561814000,,,329,,
1751013977.561959000,,,93,,
1751013977.561975000,,,93,,
1751013977.568210000,,,653,,
1751013977.568348000,,,310,,
1751013977.568386000,,,99,,
1751013977.568411000,,,95,,
1751013977.575267000,,,89,,
1751013977.590826000,,,1292,,
1751013977.590830000,,,1292,,
1751013977.590850000,,,1292,,
1751013977.590919000,,,142,,
1751013977.591234000,,,325,,
1751013977.591267000,,,280,,
1751013977.591292000,,,281,,
1751013977.599022000,,,102,,
1751013977.599039000,,,102,,
1751013977.599041000,,,1292,,
1751013977.599223000,,,1292,,
1751013977.606525000,,,1292,,
1751013977.614183000,,,1292,,
1751013977.629598000,,,1292,,
1751013977.636261000,,,1292,,
1751013977.651377000,,,1292,,
1751013977.658373000,,,1292,,
1751013977.663304000,,,1292,,
1751013977.663914000,,,360,,
1751013977.663916000,,,994,,
1751013977.664129000,,,140,,
1751013977.664148000,,,93,,
1751013977.666428000,,,87,,
1751013977.666429000,,,86,,
1751013977.671450000,,,570,,
1751013977.671453000,,,85,,
1751013977.671646000,,,93,,
1751013977.672710000,,,182,,
1751013977.672782000,,,93,,
1751013977.673339000,,,1292,,
1751013977.673340000,,,87,,
1751013977.673548000,,,99,,
1751013977.674172000,,,1292,,
1751013977.674174000,,,1292,,
1751013977.675012000,,,138,,
1751013977.681365000,,,87,,
1751013977.682357000,,,102,,
1751013977.683916000,,,1292,,
1751013977.692980000,,,1292,,
1751013977.699837000,,,1292,,
1751013977.714431000,,,1292,,
1751013977.720778000,,,1292,,
1751013977.737874000,,,1292,,
1751013977.744451000,,,1292,,
1751013977.745762000,,,1292,,
